filename, tipo, stores, selles,greedy1_cost,greedy2_cost, random_cost, relocate(random)_cost,swap(greedy1)_cost,swap(greedy2)_cost, swap(random)_cost,vnd(greedy2)_cost,vnd(random)_cost,g1_time,g2_time, rand_time, rel_time,swap_G1_time,swap_G2_time, swap_rand_time, vnd_G2_time,vnd_rand_time,grasp_cost,grasp_time
instances/real/real_instance,instances/real/real_instance,310,1100,788.395,754.299,10828.0,790.388,726.596,716.5,1128.98,709.8,721.588,2604,1917060.0,443,3779290.0,2595940.0,1947660.0,25399800.0,2312530.0,6609240.0,707.71,114032000.0
instances/gap/gap_b/b10200,instances/gap/gap_b/b10200,10,200,8714.0,7735.0,9589.0,9589.0,8254.0,7446.0,6827.0,6533.0,6295.0,23,3209.0,11,27.0,32695.0,21576.0,78648.0,24488.0,81448.0,5272.0,1386370.0
instances/gap/gap_b/b20200,instances/gap/gap_b/b20200,20,200,3652.0,3942.0,8022.0,7337.0,3355.0,3750.0,4829.0,2397.0,2422.0,39,5287.0,11,380.0,22920.0,16372.0,90182.0,33227.0,90821.0,2402.0,1383290.0
instances/gap/gap_b/b05200,instances/gap/gap_b/b05200,5,200,8839.0,8537.0,9570.0,9570.0,8272.0,8395.0,7285.0,8144.0,7285.0,14,1871.0,10,13.0,29318.0,8747.0,52596.0,9740.0,54153.0,7404.0,786354.0
instances/gap/gap_b/b10100,instances/gap/gap_b/b10100,10,100,2142.0,2888.0,4334.0,4334.0,1976.0,2732.0,2971.0,1710.0,1454.0,12,829.0,5,13.0,3374.0,2489.0,10483.0,4362.0,12508.0,1438.0,178080.0
instances/gap/gap_b/b20100,instances/gap/gap_b/b20100,20,100,1678.0,1442.0,3514.0,1212.0,1525.0,1374.0,1950.0,1264.0,1211.0,21,1320.0,5,2129.0,2330.0,1178.0,11283.0,2519.0,3201.0,1203.0,169132.0
instances/gap/gap_b/b05100,instances/gap/gap_b/b05100,5,100,5323.0,4795.0,6281.0,6281.0,5027.0,4756.0,5030.0,4374.0,4517.0,6,455.0,7,6.0,3724.0,583.0,8095.0,945.0,8482.0,4382.0,128448.0
instances/gap/gap_e/e401600,instances/gap/gap_e/e401600,40,1600,3600890.0,3873830.0,982150.0,982150.0,3576880.0,3868170.0,942797.0,3866160.0,942797.0,535,571823.0,118,739.0,13809300.0,5826890.0,53943600.0,5897130.0,54231700.0,3348290.0,431682000.0
instances/gap/gap_e/e15900,instances/gap/gap_e/e15900,15,900,1904540.0,2139240.0,636138.0,636138.0,1894290.0,2137580.0,604299.0,2137580.0,604299.0,130,83587.0,56,173.0,2849100.0,879711.0,9040670.0,901437.0,9078440.0,1843610.0,75200400.0
instances/gap/gap_e/e60900,instances/gap/gap_e/e60900,60,900,1886390.0,2014080.0,411512.0,405482.0,1871680.0,2005290.0,392029.0,2003280.0,387609.0,478,263930.0,77,2661.0,2956460.0,1858100.0,10587400.0,1908670.0,10672300.0,1815320.0,76845700.0
instances/gap/gap_e/e801600,instances/gap/gap_e/e801600,80,1600,3565430.0,3740420.0,702395.0,690343.0,3536520.0,3732320.0,664395.0,3730320.0,652590.0,1067,1067130.0,164,10091.0,14359000.0,8712440.0,62201800.0,8840100.0,63626600.0,3313560.0,428161000.0
instances/gap/gap_e/e30900,instances/gap/gap_e/e30900,30,900,1951490.0,2119510.0,515486.0,515486.0,1940770.0,2116270.0,493764.0,2114260.0,493764.0,278,143945.0,74,330.0,2566350.0,1191980.0,10457900.0,1227230.0,10543500.0,1841520.0,81536300.0
