filename, tipo, stores, selles, greedy1_cost, greedy2_cost, random_cost, relocate(random)_cost, swap(greedy1)_cost, swap(greedy2)_cost, swap(random)_cost, vnd(greedy2)_cost,vnd(random)_cost, g1_time, g2_time, rand_time, rel_time, swap_G1_time, swap_G2_time, swap_rand_time gen_time, vnd_time
instances/real/real_instance,instances/real/real_instance,310,1100,788.395,754.299,10828,790.388,726.596,716.5,1128.98,709.8,721.588,2604,1.91706e+06,443,3.77929e+06,2.59594e+06,1.94766e+06,2.53998e+07,2.31253e+06,6.60924e+06
instances/gap/gap_b/b10200,instances/gap/gap_b/b10200,10,200,8714,7735,9589,9589,8254,7446,6827,6533,6295,23,3209,11,27,32695,21576,78648,24488,81448
instances/gap/gap_b/b20200,instances/gap/gap_b/b20200,20,200,3652,3942,8022,7337,3355,3750,4829,2397,2422,39,5287,11,380,22920,16372,90182,33227,90821
instances/gap/gap_b/b05200,instances/gap/gap_b/b05200,5,200,8839,8537,9570,9570,8272,8395,7285,8144,7285,14,1871,10,13,29318,8747,52596,9740,54153
instances/gap/gap_b/b10100,instances/gap/gap_b/b10100,10,100,2142,2888,4334,4334,1976,2732,2971,1710,1454,12,829,5,13,3374,2489,10483,4362,12508
instances/gap/gap_b/b20100,instances/gap/gap_b/b20100,20,100,1678,1442,3514,1212,1525,1374,1950,1264,1211,21,1320,5,2129,2330,1178,11283,2519,3201
instances/gap/gap_b/b05100,instances/gap/gap_b/b05100,5,100,5323,4795,6281,6281,5027,4756,5030,4374,4517,6,455,7,6,3724,583,8095,945,8482
instances/gap/gap_e/e401600,instances/gap/gap_e/e401600,40,1600,3.60089e+06,3.87383e+06,982150,982150,3.57688e+06,3.86817e+06,942797,3.86616e+06,942797,535,571823,118,739,1.38093e+07,5.82689e+06,5.39436e+07,5.89713e+06,5.42317e+07
instances/gap/gap_e/e15900,instances/gap/gap_e/e15900,15,900,1.90454e+06,2.13924e+06,636138,636138,1.89429e+06,2.13758e+06,604299,2.13758e+06,604299,130,83587,56,173,2.84910e+06,879711,9.04067e+06,901437,9.07844e+06
instances/gap/gap_e/e60900,instances/gap/gap_e/e60900,60,900,1.88639e+06,2.01408e+06,411512,405482,1.87168e+06,2.00529e+06,392029,2.00328e+06,387609,478,263930,77,2661,2.95646e+06,1.8581e+06,1.05874e+07,1.90867e+06,1.06723e+07
instances/gap/gap_e/e801600,instances/gap/gap_e/e801600,80,1600,3.56543e+06,3.74042e+06,702395,690343,3.53652e+06,3.73232e+06,664395,3.73032e+06,652590,1067,1.06713e+06,164,10091,1.4359e+07,8.71244e+06,6.22018e+07,8.8401e+06,6.36266e+07
instances/gap/gap_e/e30900,instances/gap/gap_e/e30900,30,900,1.95149e+06,2.11951e+06,515486,515486,1.94077e+06,2.11627e+06,493764,2.11426e+06,493764,278,143945,74,330,2.56635e+06,1.19198e+06,1.04579e+07,1.22723e+06,1.05435e+07
instances/gap/gap_e/e40400,instances/gap/gap_e/e40400,40,400,749569,820227,118635,100260,741931,816017,96574,816017,90037,151,36192,26,8539,325641,215026,421644,222520,397569
